Year,1950,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024
Jan,11.531388,11.5237255,11.93208,11.789703,11.566616,11.861151,11.68547,11.654374,12.146397,11.933072,11.872816,11.923387,11.850143,11.7909975,11.804433,11.703012,11.702272,11.706984,11.60014,11.739466,11.942414,11.778462,11.571226,12.086355,11.700357,11.799879,11.7101965,11.904224,11.886343,12.020022,12.142542,12.26801,11.864876,12.290564,12.039797,12.019401,12.0092945,12.108788,12.3108425,11.845773,12.211811,12.276068,12.231627,12.134252,12.046262,12.312786,12.082377,12.072584,12.393917,12.214922,12.052316,12.212121,12.537122,12.54839,12.400086,12.589417,12.398083,12.805134,12.113865,12.501626,12.6356325,12.351499,12.276404,12.588698,12.568906,12.634445,12.992974,12.845391,12.682602,12.72624,13.023079,12.685115,12.719163,12.688446,13.140049
Feb,11.792825,11.683564,12.138228,12.121825,11.934021,11.813084,11.847835,11.932998,12.260567,12.166493,12.24414,12.243722,12.203269,12.194991,12.051636,11.887438,12.059269,11.82365,11.945835,11.961046,12.254976,11.88206,11.821016,12.399655,11.776932,12.069766,11.832213,12.143403,12.145944,12.041664,12.48092,12.479772,12.241295,12.536253,12.171723,12.034621,12.351048,12.440135,12.3961935,12.392604,12.454428,12.606778,12.478681,12.4209,12.093141,12.794768,12.5073805,12.41506,12.883618,12.681481,12.592969,12.446715,12.721333,12.6419525,12.756488,12.735444,12.818839,12.817436,12.408693,12.694721,12.951654,12.553501,12.550499,12.74516,12.633697,12.928266,13.417186,13.228915,12.992014,13.037775,13.328517,12.789588,12.959104,13.022,13.539654
Mar,12.635163,12.563761,12.666147,12.756589,12.661259,12.384184,12.565979,12.604989,12.874493,12.976275,12.49758,12.845587,12.850568,12.561065,12.565219,12.62675,12.781542,12.770237,12.876576,12.785457,12.814029,12.597618,12.692302,12.964487,12.614829,12.798354,12.395815,12.831951,12.836083,12.922516,13.132188,13.245338,12.771743,13.220772,13.016247,12.878293,12.996208,12.927666,13.217022,13.0517025,13.4817915,13.156142,13.161902,13.045327,12.990586,13.173241,13.098656,13.238771,13.373654,13.018255,13.190486,13.249902,13.600031,13.243049,13.397877,13.497539,13.397637,13.409753,13.427832,13.287885,13.678044,13.350491,13.2728615,13.43299,13.499714,13.637717,14.034868,13.908651,13.6822195,13.917174,13.896629,13.59851,13.802971,13.920512,14.137005
Apr,13.524945,13.64276,13.655626,13.859396,13.588692,13.517049,13.481961,13.701492,13.8223715,13.8940325,13.617132,13.844145,13.770969,13.627344,13.490207,13.558546,13.665203,13.7059965,13.674392,13.900457,13.880715,13.652365,13.747461,13.945415,13.6023245,13.720374,13.539801,13.85261,13.80994,13.8530855,14.177514,14.148394,13.823871,14.084862,13.892514,13.88891,14.061669,14.027365,14.172643,14.04663,14.309105,14.238818,13.942003,14.035608,14.081033,14.2422285,14.017101,14.033609,14.482419,14.058055,14.278867,14.208167,14.297926,14.241501,14.347166,14.432028,14.291636,14.535259,14.234885,14.301492,14.613985,14.375194,14.415891,14.32516,14.471099,14.418048,14.891109,14.689784,14.666684,14.798781,14.88185,14.552132,14.644848,14.682128,15.031762
May,14.559968,14.849787,14.697377,14.871909,14.617509,14.542113,14.42503,14.719188,14.834977,14.731437,14.64309,14.833232,14.633332,14.641148,14.553959,14.63097,14.640344,14.84185,14.616755,14.895334,14.715215,14.5697975,14.689952,14.893085,14.527253,14.631251,14.385301,14.84667,14.769805,14.814796,15.170274,15.031605,14.889548,15.12825,15.046703,14.824667,14.992249,14.9888,15.159114,14.854269,15.244974,15.084843,14.922943,14.966328,14.913115,15.026375,14.894354,15.0091505,15.439772,14.964205,15.040937,15.21575,15.341526,15.247869,15.051244,15.331104,15.1898365,15.345395,15.156336,15.257493,15.459884,15.219789,15.435046,15.282976,15.444883,15.438125,15.676825,15.634073,15.513348,15.618282,15.727451,15.518911,15.517336,15.656851,15.913408
Jun,15.342679,15.482765,15.4388895,15.458491,15.25333,15.263225,15.18331,15.511406,15.442335,15.4665165,15.41433,15.520039,15.328424,15.463797,15.339843,15.309595,15.471785,15.38916,15.29774,15.505543,15.480205,15.260525,15.57052,15.527462,15.26344,15.288056,15.2395525,15.594654,15.35717,15.550994,15.72903,15.733463,15.562675,15.716963,15.476922,15.516408,15.534784,15.791557,15.825962,15.576558,15.798378,16.010637,15.660099,15.680171,15.728785,15.896709,15.666989,15.902745,16.165981,15.750581,15.738832,15.871803,16.005978,15.843976,15.889387,16.059278,16.063963,15.9590225,15.784431,15.987216,16.069368,16.003246,16.102255,16.09026,16.05494,16.169054,16.244,16.18471,16.207808,16.351408,16.342968,16.19531,16.290714,16.513966,16.657036
Jul,15.516502,15.56184,15.688141,15.727716,15.497711,15.466441,15.449109,15.652513,15.743772,15.700166,15.652028,15.736973,15.687657,15.801532,15.725817,15.596132,15.820604,15.701427,15.635543,15.702882,15.7129345,15.525753,15.81249,15.777741,15.529221,15.500267,15.572607,15.789375,15.741158,15.73191,16.020075,15.987887,15.891441,15.912945,15.697618,15.693827,15.780972,16.14033,16.032255,15.991828,16.15146,16.181702,15.767719,15.878973,15.954261,16.124992,16.022491,16.056839,16.350664,16.026947,15.991148,16.208397,16.262848,16.181677,15.9530325,16.314203,16.232197,16.235226,16.205437,16.366562,16.280825,16.371902,16.269142,16.203823,16.294601,16.382523,16.589361,16.494432,16.507156,16.6257,16.554092,16.559628,16.606197,16.953054,""
Aug,15.295163,15.623533,15.424812,15.582026,15.309472,15.511878,15.228044,15.584185,15.534193,15.518009,15.579781,15.562732,15.510589,15.758919,15.417093,15.439311,15.53211,15.540593,15.458821,15.453359,15.427826,15.40732,15.655045,15.487677,15.490554,15.273542,15.358251,15.644886,15.389572,15.7022,15.827236,15.875435,15.657794,15.861922,15.673098,15.717453,15.67441,15.840831,15.945123,15.790016,15.945538,15.971901,15.62337,15.727078,15.727217,16.0046,15.999944,15.977495,16.25292,15.873902,15.936432,16.060528,16.064877,16.157375,15.949905,16.141066,16.18244,16.092758,16.032465,16.156666,16.157595,16.22224,16.187824,16.166069,16.247297,16.353544,16.512535,16.407225,16.319727,16.46732,16.37801,16.422337,16.406933,16.82079,""
Sep,14.781457,14.953415,14.833668,14.814235,14.5711155,14.762804,14.52464,14.912442,14.7905035,14.741848,14.822512,14.9301195,14.799917,14.998998,14.549814,14.723832,14.845195,14.864296,14.703648,14.868066,14.833001,14.766317,14.897143,14.853445,14.652188,14.606487,14.749082,14.800845,14.7615385,15.069906,15.078478,15.110228,14.980728,15.2493,14.960199,14.925416,14.919343,15.22218,15.258968,15.163349,15.215678,15.244394,14.83713,14.929635,15.207548,15.245651,15.118699,15.381611,15.39345,15.245566,15.207555,15.368109,15.451495,15.520067,15.406212,15.575912,15.494354,15.356439,15.416166,15.549981,15.545297,15.493621,15.559154,15.615945,15.630689,15.713113,15.803998,15.725799,15.645674,15.824985,15.879755,15.84764,15.795641,16.37684,""
Oct,13.799727,13.964421,13.754361,13.848473,13.674701,13.708475,13.459964,13.924913,13.822818,13.808327,13.877205,13.867196,13.838742,13.942059,13.444638,13.766188,13.665706,13.926754,13.883635,13.836385,13.805939,13.654329,13.89745,13.803243,13.61431,13.518475,13.386527,13.730057,13.750789,14.0817995,13.990675,14.027539,13.926378,13.971046,13.924381,13.799597,13.852506,14.10014,14.094823,14.071519,14.288079,14.098022,13.844924,14.016053,14.154319,14.251412,14.006022,14.393439,14.2686615,14.144938,14.050634,14.340297,14.3653755,14.550367,14.453026,14.618165,14.58424,14.432252,14.483415,14.526278,14.562663,14.475859,14.665455,14.497687,14.609847,14.887541,14.787861,14.805654,14.800872,14.899434,14.822222,14.867596,14.855216,15.296082,""
